date,remainder
1949-01-01,4.405303030303081
1949-02-01,17.496212121212125
1949-03-01,7.496212121212096
1949-04-01,9.587121212121204
1949-05-01,-5.231060606060595
1949-06-01,-12.776515151515184
1949-07-01,-19.412878787878782
1949-08-01,-20.321969696969745
1949-09-01,-7.321969696969688
1949-10-01,-4.685606060606062
1949-11-01,-2.7765151515151345
1949-12-01,-5.594696969696955
1950-01-01,-17.47575757575754
1950-02-01,2.61515151515151
1950-03-01,-6.384848484848504
1950-04-01,-8.29393939393941
1950-05-01,-26.11212121212121
1950-06-01,-20.657575757575785
1950-07-01,-18.293939393939382
1950-08-01,-19.203030303030346
1950-09-01,-3.203030303030289
1950-10-01,-10.566666666666663
1950-11-01,-12.657575757575756
1950-12-01,1.5242424242424306
1951-01-01,1.6431818181818585
1951-02-01,11.734090909090895
1951-03-01,14.734090909090867
1951-04-01,2.8249999999999886
1951-05-01,13.006818181818176
1951-06-01,-10.538636363636414
1951-07-01,-12.175000000000011
1951-08-01,-13.084090909090975
1951-09-01,0.9159090909090821
1951-10-01,3.5522727272727366
1951-11-01,10.461363636363643
1951-12-01,9.64318181818183
1952-01-01,8.76212121212123
1952-02-01,21.853030303030295
1952-03-01,4.853030303030266
1952-04-01,-2.0560606060606403
1952-05-01,-1.874242424242425
1952-06-01,5.580303030302957
1952-07-01,-8.056060606060612
1952-08-01,3.0348484848484247
1952-09-01,1.0348484848484532
1952-10-01,10.671212121212108
1952-11-01,17.580303030303014
1952-12-01,15.762121212121201
1953-01-01,10.881060606060629
1953-02-01,12.971969696969666
1953-03-01,20.971969696969666
1953-04-01,27.06287878787873
1953-05-01,19.244696969696946
1953-06-01,2.6992424242423567
1953-07-01,-3.9371212121212125
1953-08-01,2.153787878787824
1953-09-01,1.153787878787881
1953-10-01,4.790151515151479
1953-11-01,-1.3007575757575864
1953-12-01,-4.1189393939393995
1954-01-01,-7.999999999999972
1954-02-01,-23.909090909090935
1954-03-01,-7.909090909090963
1954-04-01,-7.818181818181841
1954-05-01,-3.6363636363636545
1954-06-01,-6.181818181818244
1954-07-01,-0.818181818181813
1954-08-01,-8.727272727272805
1954-09-01,-6.727272727272748
1954-10-01,-5.090909090909122
1954-11-01,-2.181818181818187
1954-12-01,-4.000000000000028
1955-01-01,2.1189393939393995
1955-02-01,-4.7901515151515355
1955-03-01,-6.790151515151592
1955-04-01,2.3007575757575296
1955-05-01,1.482575757575745
1955-06-01,6.937121212121156
1955-07-01,15.30075757575753
1955-08-01,3.391666666666538
1955-09-01,8.391666666666652
1955-10-01,8.028030303030278
1955-11-01,3.937121212121184
1955-12-01,13.118939393939371
1956-01-01,10.237878787878799
1956-02-01,7.3287878787878356
1956-03-01,5.328787878787807
1956-04-01,9.419696969696929
1956-05-01,11.601515151515116
1956-06-01,20.0560606060605
1956-07-01,18.41969696969693
1956-08-01,12.510606060605994
1956-09-01,11.510606060606051
1956-10-01,6.146969696969677
1956-11-01,7.0560606060605835
1956-12-01,7.237878787878742
1957-01-01,7.356818181818198
1957-02-01,-1.5522727272727934
1957-03-01,5.447727272727207
1957-04-01,6.5386363636363285
1957-05-01,9.720454545454515
1957-06-01,21.174999999999898
1957-07-01,19.53863636363633
1957-08-01,19.629545454545394
1957-09-01,14.62954545454545
1957-10-01,8.265909090909076
1957-11-01,6.1749999999999545
1957-12-01,1.3568181818181415
1958-01-01,-2.524242424242402
1958-02-01,-16.433333333333394
1958-03-01,-18.433333333333394
1958-04-01,-21.342424242424272
1958-05-01,-13.160606060606085
1958-06-01,0.29393939393929713
1958-07-01,4.657575757575728
1958-08-01,11.748484848484793
1958-09-01,-13.251515151515207
1958-10-01,-11.615151515151524
1958-11-01,-17.706060606060646
1958-12-01,-25.524242424242516
1959-01-01,-17.40530303030306
1959-02-01,-27.31439393939405
1959-03-01,-19.31439393939405
1959-04-01,-18.22348484848493
1959-05-01,-5.0416666666667425
1959-06-01,-6.587121212121303
1959-07-01,4.776515151515127
1959-08-01,8.867424242424136
1959-09-01,-7.1325757575758075
1959-10-01,-9.496212121212182
1959-11-01,-8.587121212121247
1959-12-01,-9.40530303030306
